System ID,Qty.
210000011380,-450
210000018789,-446
210000014871,-407
210000019537,-276
210000019470,-266
210000015161,-265
210000018304,-260
210000008890,-240
210000019213,-192
210000009782,-189
210000013112,-178
210000018806,-173
210000007164,-167
210000011161,-150
210000011381,-147
210000013114,-147
210000015318,-130
210000018148,-127
210000019216,-122
210000011320,-107
210000013111,-106
210000014869,-105
210000019205,-105
210000018807,-103
210000015294,-98
210000018278,-89
210000008431,-87
210000016908,-85
210000013036,-84
210000005600,-82
210000011812,-81
210000019184,-81
210000016892,-80
210000018813,-80
210000000363,-79
210000016916,-75
210000018305,-75
210000018108,-64
210000015627,-63
210000016217,-60
210000019189,-57
210000017362,-55
210000008430,-54
210000015106,-54
210000008413,-52
210000018810,-51
210000014704,-50
210000015171,-50
210000016894,-49
210000016918,-49
210000015110,-48
210000017094,-48
210000017039,-46
210000007911,-45
210000008415,-45
210000019647,-44
210000012810,-43
210000014698,-43
210000017317,-43
210000008439,-41
210000019079,-41
210000015142,-40
210000019121,-40
210000017838,-38
210000019417,-38
210000019953,-37
210000015119,-36
210000015099,-35
210000019870,-35
210000003244,-34
210000008435,-34
210000016231,-34
210000009754,-33
210000017342,-33
210000011824,-31
210000019873,-30
210000008432,-29
210000010555,-29
210000014788,-29
210000018073,-29
210000011606,-28
210000013898,-28
210000017676,-28
210000013136,-27
210000017692,-27
210000009349,-26
210000012927,-26
210000014700,-26
210000014781,-26
210000018902,-26
210000019190,-26
210000017696,-25
210000017698,-25
210000011252,-24
210000011254,-24
210000014860,-24
210000007910,-23
210000008414,-23
210000011850,-23
210000019052,-23
210000019185,-23
210000003245,-22
210000011670,-22
210000014561,-22
210000015526,-22
210000016936,-22
210000001228,-21
210000003158,-21
210000016845,-21
210000017328,-21
210000017370,-21
210000005731,-20
210000011772,-20
210000012209,-20
210000014876,-20
210000015126,-20
210000016904,-20
210000016924,-20
210000017381,-20
210000018907,-20
210000020468,-20
210000001657,-19
210000004392,-19
210000005624,-19
210000014726,-19
210000017350,-19
210000019473,-19
210000003015,-18
210000005548,-18
210000008396,-18
210000011247,-18
210000011871,-18
210000017367,-18
210000017832,-18
210000003252,-17
210000006389,-17
210000008914,-17
210000008925,-17
210000011834,-17
210000012941,-17
210000017182,-17
210000018483,-17
210000006353,-16
210000017206,-16
210000019393,-16
210000005629,-15
210000011174,-15
210000011753,-15
210000012358,-15
210000014710,-15
210000014858,-15
210000019206,-15
210000003347,-14
210000011653,-14
210000011762,-14
210000014814,-14
210000017195,-14
210000000326,-13
210000003999,-13
210000008393,-13
210000009448,-13
210000011214,-13
210000014252,-13
210000015296,-13
210000003036,-12
210000005727,-12
210000006719,-12
210000011836,-12
210000012111,-12
210000012427,-12
210000014691,-12
210000014708,-12
210000006713,-11
210000008401,-11
210000010914,-11
210000011636,-11
210000014487,-11
210000014835,-11
210000017352,-11
210000017372,-11
210000019212,-11
210000019535,-11
210000003239,-10
210000005644,-10
210000005757,-10
210000008392,-10
210000008412,-10
210000008702,-10
210000009276,-10
210000012851,-10
210000013144,-10
210000014422,-10
210000014702,-10
210000015128,-10
210000015173,-10
210000016709,-10
210000016898,-10
210000018113,-10
210000019871,-10
210000000362,-9
210000005253,-9
210000008400,-9
210000008438,-9
210000009348,-9
210000010579,-9
210000012942,-9
210000014132,-9
210000015124,-9
210000015547,-9
210000016251,-9
210000017638,-9
210000018175,-9
210000018481,-9
210000018519,-9
210000003240,-8
210000005009,-8
210000005751,-8
210000005995,-8
210000006405,-8
210000006430,-8
210000008411,-8
210000010835,-8
210000011327,-8
210000012206,-8
210000014349,-8
210000018314,-8
210000018493,-8
210000019686,-8
210000003029,-7
210000004393,-7
210000006367,-7
210000006368,-7
210000006502,-7
210000006832,-7
210000009484,-7
210000010476,-7
210000010917,-7
210000011207,-7
210000011760,-7
210000014348,-7
210000014802,-7
210000014908,-7
210000015303,-7
210000015308,-7
210000018787,-7
210000000235,-6
210000000933,-6
210000003230,-6
210000004088,-6
210000005543,-6
210000005661,-6
210000006416,-6
210000006436,-6
210000008267,-6
210000008436,-6
210000008773,-6
210000008913,-6
210000009203,-6
210000010577,-6
210000011666,-6
210000011881,-6
210000012333,-6
210000012384,-6
210000013425,-6
210000013590,-6
210000014902,-6
210000016510,-6
210000016902,-6
210000016906,-6
210000017139,-6
210000017178,-6
210000017639,-6
210000017732,-6
210000018491,-6
210000018518,-6
210000018679,-6
210000018683,-6
210000018754,-6
210000019687,-6
210000019732,-6
210000001341,-5
210000001410,-5
210000001714,-5
210000003307,-5
210000003541,-5
210000005550,-5
210000006390,-5
210000006392,-5
210000006404,-5
210000006415,-5
210000006509,-5
210000006725,-5
210000006863,-5
210000006900,-5
210000007297,-5
210000008405,-5
210000008408,-5
210000008600,-5
210000008664,-5
210000008798,-5
210000008929,-5
210000009221,-5
210000009253,-5
210000009780,-5
210000011691,-5
210000011780,-5
210000011975,-5
210000012157,-5
210000012224,-5
210000013132,-5
210000013767,-5
210000014706,-5
210000016861,-5
210000017640,-5
210000017642,-5
210000017643,-5
210000018041,-5
210000018312,-5
210000018485,-5
210000018486,-5
210000018490,-5
210000018497,-5
210000018501,-5
210000018532,-5
210000018682,-5
210000018757,-5
210000000315,-4
210000001409,-4
210000003095,-4
210000003193,-4
210000003259,-4
210000003324,-4
210000003501,-4
210000003998,-4
210000005514,-4
210000008172,-4
210000008373,-4
210000008398,-4
210000008403,-4
210000008717,-4
210000008907,-4
210000009457,-4
210000010873,-4
210000010909,-4
210000011744,-4
210000012041,-4
210000012335,-4
210000012348,-4
210000012380,-4
210000012852,-4
210000013043,-4
210000013077,-4
210000013082,-4
210000014354,-4
210000014365,-4
210000014910,-4
210000015309,-4
210000015338,-4
210000015543,-4
210000016930,-4
210000017351,-4
210000017572,-4
210000017662,-4
210000018075,-4
210000018306,-4
210000018313,-4
210000018487,-4
210000018533,-4
210000019471,-4
210000019475,-4
210000019534,-4
210000019731,-4
210000019800,-4
210000020038,-4
210000003162,-3
210000003241,-3
210000004084,-3
210000005093,-3
210000005486,-3
